Team,Season,home_goals,away_goals
KV Kortrijk,2010/2011,3,0
SV Zulte-Waregem,2010/2011,5,3
Sporting Lokeren,2010/2011,3,1
Club Brugge KV,2010/2011,0,5
Standard de Liège,2010/2011,1,0
Beerschot AC,2010/2011,0,1
Lierse SK,2010/2011,2,0
Sint-Truidense VV,2010/2011,4,2
KAS Eupen,2010/2011,4,0
Sporting Charleroi,2010/2011,2,1
KRC Genk,2010/2011,0,2
Beerschot AC,2010/2011,4,3
KAA Gent,2010/2011,3,2
KVC Westerlo,2010/2011,1,2
KSV Cercle Brugge,2010/2011,2,2
RSC Anderlecht,2010/2011,1,1
KV Mechelen,2010/2011,5,0
Sint-Truidense VV,2010/2011,2,0
SV Zulte-Waregem,2010/2011,3,0
Club Brugge KV,2010/2011,2,1
Lierse SK,2010/2011,0,1
Sporting Lokeren,2010/2011,0,1
Standard de Liège,2010/2011,1,2
KV Kortrijk,2010/2011,2,1
RSC Anderlecht,2011/2012,2,1
Standard de Liège,2011/2012,1,1
Beerschot AC,2011/2012,3,1
KSV Cercle Brugge,2011/2012,0,1
SV Zulte-Waregem,2011/2012,0,0
Lierse SK,2011/2012,1,1
Sint-Truidense VV,2011/2012,2,1
KVC Westerlo,2011/2012,5,0
KAA Gent,2011/2012,2,0
Standard de Liège,2011/2012,5,0
Beerschot AC,2011/2012,2,4
Lierse SK,2011/2012,1,2
KVC Westerlo,2011/2012,1,1
KRC Genk,2011/2012,3,1
KSV Cercle Brugge,2011/2012,1,2
KV Kortrijk,2011/2012,3,1
SV Zulte-Waregem,2011/2012,1,0
RAEC Mons,2011/2012,2,0
Sporting Lokeren,2011/2012,3,1
KV Mechelen,2011/2012,2,2
Club Brugge KV,2011/2012,2,1
Sint-Truidense VV,2011/2012,0,2
RSC Anderlecht,2011/2012,1,2
Oud-Heverlee Leuven,2011/2012,2,0
KRC Genk,2011/2012,4,5
Lierse SK,2011/2012,4,0
Standard de Liège,2011/2012,1,1
KSV Cercle Brugge,2011/2012,1,1
Beerschot AC,2011/2012,3,2
KV Kortrijk,2011/2012,1,4
KVC Westerlo,2011/2012,1,0
KAA Gent,2011/2012,1,1
Club Brugge KV,2011/2012,2,1
KV Kortrijk,2011/2012,2,2
KV Mechelen,2011/2012,6,2
RAEC Mons,2011/2012,2,0
Sint-Truidense VV,2011/2012,0,0
Oud-Heverlee Leuven,2011/2012,3,1
Sporting Lokeren,2011/2012,2,4
RSC Anderlecht,2011/2012,1,0
KSV Cercle Brugge,2011/2012,1,0
Sint-Truidense VV,2011/2012,3,1
KVC Westerlo,2011/2012,3,0
Standard de Liège,2011/2012,1,3
Beerschot AC,2011/2012,1,1
KAA Gent,2011/2012,0,4
SV Zulte-Waregem,2011/2012,1,1
Lierse SK,2011/2012,2,1
KV Mechelen,2011/2012,3,2
KRC Genk,2011/2012,2,0
KV Kortrijk,2011/2012,0,1
Oud-Heverlee Leuven,2011/2012,2,1
RSC Anderlecht,2011/2012,2,3
Club Brugge KV,2011/2012,0,1
RAEC Mons,2011/2012,2,1
Sporting Lokeren,2011/2012,1,1
Oud-Heverlee Leuven,2011/2012,0,0
KAA Gent,2011/2012,0,0
KRC Genk,2011/2012,2,0
RAEC Mons,2011/2012,2,3
Sporting Lokeren,2011/2012,1,1
KV Mechelen,2011/2012,2,2
Club Brugge KV,2011/2012,0,1
KV Kortrijk,2011/2012,1,2
Sint-Truidense VV,2011/2012,1,0
Lierse SK,2011/2012,4,0
SV Zulte-Waregem,2011/2012,2,2
Standard de Liège,2011/2012,1,1
KVC Westerlo,2011/2012,1,0
RSC Anderlecht,2011/2012,2,1
KSV Cercle Brugge,2011/2012,0,2
Beerschot AC,2011/2012,0,1
Sporting Lokeren,2011/2012,3,2
KRC Genk,2011/2012,0,0
KV Mechelen,2011/2012,0,0
RAEC Mons,2011/2012,2,3
Club Brugge KV,2011/2012,3,1
KV Kortrijk,2011/2012,2,0
Beerschot AC,2011/2012,3,1
KAA Gent,2011/2012,0,1
SV Zulte-Waregem,2011/2012,1,0
KSV Cercle Brugge,2011/2012,4,2
KVC Westerlo,2011/2012,3,1
Lierse SK,2011/2012,0,0
Sint-Truidense VV,2011/2012,0,0
Standard de Liège,2011/2012,2,0
Oud-Heverlee Leuven,2011/2012,2,2
RSC Anderlecht,2011/2012,1,1
KV Mechelen,2011/2012,3,1
Sporting Lokeren,2011/2012,3,1
KAA Gent,2011/2012,2,2
Club Brugge KV,2011/2012,3,3
Oud-Heverlee Leuven,2011/2012,2,1
KRC Genk,2011/2012,0,0
KV Kortrijk,2011/2012,0,0
RAEC Mons,2011/2012,1,1
Club Brugge KV,2011/2012,3,0
Beerschot AC,2011/2012,6,1
KV Kortrijk,2011/2012,0,0
KRC Genk,2011/2012,1,1
Sporting Lokeren,2011/2012,1,1
RAEC Mons,2011/2012,4,1
KAA Gent,2011/2012,2,1
KVC Westerlo,2011/2012,3,1
KV Mechelen,2011/2012,0,1
Sint-Truidense VV,2011/2012,2,1
SV Zulte-Waregem,2011/2012,0,0
KSV Cercle Brugge,2011/2012,4,0
Lierse SK,2011/2012,2,0
RSC Anderlecht,2011/2012,0,1
Oud-Heverlee Leuven,2011/2012,2,2
Standard de Liège,2011/2012,0,0
Sporting Lokeren,2011/2012,3,0
KAA Gent,2011/2012,3,1
RAEC Mons,2011/2012,2,1
KVC Westerlo,2011/2012,0,3
KV Kortrijk,2011/2012,0,2
KRC Genk,2011/2012,3,2
KSV Cercle Brugge,2011/2012,2,2
Beerschot AC,2011/2012,1,0
Oud-Heverlee Leuven,2011/2012,5,0
Sint-Truidense VV,2011/2012,6,0
RSC Anderlecht,2011/2012,0,0
KV Mechelen,2011/2012,3,2
SV Zulte-Waregem,2011/2012,0,0
Club Brugge KV,2011/2012,0,2
Lierse SK,2011/2012,0,2
Standard de Liège,2011/2012,0,1
Beerschot AC,2011/2012,5,1
KRC Genk,2011/2012,4,2
KSV Cercle Brugge,2011/2012,0,1
KVC Westerlo,2011/2012,3,1
RAEC Mons,2011/2012,3,1
KV Kortrijk,2011/2012,0,0
Standard de Liège,2011/2012,0,2
KAA Gent,2011/2012,2,3
RSC Anderlecht,2011/2012,1,2
Sporting Lokeren,2011/2012,0,1
Club Brugge KV,2011/2012,1,3
Sint-Truidense VV,2011/2012,3,2
RAEC Mons,2011/2012,2,2
SV Zulte-Waregem,2011/2012,2,1
Oud-Heverlee Leuven,2011/2012,1,3
KV Mechelen,2011/2012,1,0
KV Kortrijk,2011/2012,2,1
KVC Westerlo,2011/2012,3,1
Lierse SK,2011/2012,1,1
Standard de Liège,2011/2012,4,2
KSV Cercle Brugge,2011/2012,2,3
KAA Gent,2011/2012,1,1
Beerschot AC,2011/2012,2,1
KRC Genk,2011/2012,1,2
Sint-Truidense VV,2011/2012,0,0
Club Brugge KV,2011/2012,3,0
Oud-Heverlee Leuven,2011/2012,2,1
Sporting Lokeren,2011/2012,2,5
RSC Anderlecht,2011/2012,0,0
KV Mechelen,2011/2012,1,3
SV Zulte-Waregem,2011/2012,1,0
RAEC Mons,2011/2012,2,0
Standard de Liège,2011/2012,1,0
KSV Cercle Brugge,2011/2012,4,0
SV Zulte-Waregem,2011/2012,1,0
Lierse SK,2011/2012,0,0
KVC Westerlo,2011/2012,4,0
KRC Genk,2011/2012,3,2
KAA Gent,2011/2012,0,2
Beerschot AC,2011/2012,4,2
Oud-Heverlee Leuven,2011/2012,4,0
KV Kortrijk,2011/2012,3,1
Sporting Lokeren,2011/2012,2,2
RSC Anderlecht,2011/2012,2,2
KV Mechelen,2011/2012,2,0
RAEC Mons,2011/2012,1,1
KRC Genk,2011/2012,3,2
Club Brugge KV,2011/2012,1,2
Oud-Heverlee Leuven,2011/2012,1,0
SV Zulte-Waregem,2011/2012,2,2
Standard de Liège,2011/2012,3,1
KVC Westerlo,2011/2012,3,1
RSC Anderlecht,2011/2012,0,1
KSV Cercle Brugge,2011/2012,2,0
Lierse SK,2011/2012,2,1
Sint-Truidense VV,2011/2012,4,2
Lierse SK,2011/2012,1,0
SV Zulte-Waregem,2011/2012,2,1
KAA Gent,2011/2012,3,1
Sint-Truidense VV,2011/2012,3,1
KSV Cercle Brugge,2011/2012,1,0
Beerschot AC,2011/2012,2,0
Standard de Liège,2011/2012,1,2
KVC Westerlo,2011/2012,2,1
KV Kortrijk,2011/2012,3,1
Sporting Lokeren,2011/2012,0,2
Club Brugge KV,2011/2012,1,1
KV Mechelen,2011/2012,1,2
Beerschot AC,2011/2012,1,1
KAA Gent,2011/2012,2,3
KRC Genk,2011/2012,3,2
RAEC Mons,2011/2012,2,2
RSC Anderlecht,2011/2012,1,1
KV Mechelen,2011/2012,0,0
Lierse SK,2011/2012,1,0
Standard de Liège,2011/2012,1,1
Oud-Heverlee Leuven,2011/2012,0,1
Sint-Truidense VV,2011/2012,4,0
SV Zulte-Waregem,2011/2012,3,1
KSV Cercle Brugge,2011/2012,1,3
KV Kortrijk,2011/2012,2,0
KVC Westerlo,2011/2012,1,0
KRC Genk,2011/2012,3,4
KAA Gent,2011/2012,1,3
RAEC Mons,2011/2012,3,1
Club Brugge KV,2011/2012,1,2
Beerschot AC,2011/2012,2,1
Sporting Lokeren,2011/2012,1,1
Standard de Liège,2011/2012,3,0
RSC Anderlecht,2011/2012,0,1
SV Zulte-Waregem,2011/2012,2,0
Club Brugge KV,2011/2012,1,2
Oud-Heverlee Leuven,2011/2012,2,0
KV Mechelen,2011/2012,5,1
Sint-Truidense VV,2011/2012,2,0
Lierse SK,2011/2012,0,0
RAEC Mons,2011/2012,2,1
Beerschot AC,2011/2012,3,2
KSV Cercle Brugge,2011/2012,0,0
KAA Gent,2011/2012,3,4
KV Kortrijk,2011/2012,1,0
KRC Genk,2011/2012,1,1
Sporting Lokeren,2011/2012,0,2
KVC Westerlo,2011/2012,0,0
Lierse SK,2011/2012,2,0
RSC Anderlecht,2011/2012,0,1
Oud-Heverlee Leuven,2011/2012,6,1
Club Brugge KV,2011/2012,1,1
KV Mechelen,2011/2012,1,0
Sporting Lokeren,2011/2012,3,3
SV Zulte-Waregem,2011/2012,1,1
Sint-Truidense VV,2011/2012,2,2
RSC Anderlecht,2012/2013,1,1
Sporting Lokeren,2012/2013,2,4
Oud-Heverlee Leuven,2012/2013,5,2
SV Zulte-Waregem,2012/2013,0,1
Sporting Charleroi,2012/2013,4,2
Waasland-Beveren,2012/2013,3,1
Lierse SK,2012/2013,2,0
KSV Cercle Brugge,2012/2013,3,3
KRC Genk,2012/2013,1,1
RSC Anderlecht,2012/2013,2,1
KAA Gent,2012/2013,2,2
Oud-Heverlee Leuven,2012/2013,0,4
KSV Cercle Brugge,2012/2013,3,1
Lierse SK,2012/2013,2,2
KV Kortrijk,2012/2013,0,2
RAEC Mons,2012/2013,2,2
Waasland-Beveren,2012/2013,2,0
Beerschot AC,2012/2013,3,0
KV Kortrijk,2012/2013,0,1
Sporting Lokeren,2012/2013,0,3
Club Brugge KV,2012/2013,4,1
Sporting Charleroi,2012/2013,0,1
Standard de Liège,2012/2013,3,1
KV Mechelen,2012/2013,1,2
Sporting Lokeren,2012/2013,2,3
KSV Cercle Brugge,2012/2013,2,1
RAEC Mons,2012/2013,2,0
Oud-Heverlee Leuven,2012/2013,1,3
RSC Anderlecht,2012/2013,2,0
KRC Genk,2012/2013,1,1
Lierse SK,2012/2013,3,0
SV Zulte-Waregem,2012/2013,0,2
KAA Gent,2012/2013,5,0
Standard de Liège,2012/2013,0,2
Sporting Charleroi,2012/2013,4,1
KV Mechelen,2012/2013,3,1
Waasland-Beveren,2012/2013,2,0
Club Brugge KV,2012/2013,3,2
KV Kortrijk,2012/2013,1,0
Beerschot AC,2012/2013,3,1
SV Zulte-Waregem,2012/2013,0,1
Oud-Heverlee Leuven,2012/2013,2,0
KRC Genk,2012/2013,1,2
Waasland-Beveren,2012/2013,1,2
Sporting Lokeren,2012/2013,0,2
Lierse SK,2012/2013,4,1
RSC Anderlecht,2012/2013,1,4
KSV Cercle Brugge,2012/2013,3,2
Club Brugge KV,2012/2013,6,1
RAEC Mons,2012/2013,5,1
KV Mechelen,2012/2013,1,1
KV Kortrijk,2012/2013,0,0
Standard de Liège,2012/2013,2,1
Beerschot AC,2012/2013,1,3
Sporting Charleroi,2012/2013,0,0
KAA Gent,2012/2013,2,2
KV Kortrijk,2012/2013,1,0
KV Mechelen,2012/2013,1,1
Standard de Liège,2012/2013,0,0
RAEC Mons,2012/2013,1,3
Beerschot AC,2012/2013,1,0
KAA Gent,2012/2013,2,0
Club Brugge KV,2012/2013,2,6
KRC Genk,2012/2013,3,1
Sporting Charleroi,2012/2013,1,0
Lierse SK,2012/2013,3,0
Oud-Heverlee Leuven,2012/2013,1,1
SV Zulte-Waregem,2012/2013,0,1
RSC Anderlecht,2012/2013,1,4
KSV Cercle Brugge,2012/2013,3,1
Waasland-Beveren,2012/2013,0,1
Sporting Lokeren,2012/2013,1,2
KV Mechelen,2012/2013,1,1
KSV Cercle Brugge,2012/2013,2,1
KV Kortrijk,2012/2013,2,0
Beerschot AC,2012/2013,0,0
KAA Gent,2012/2013,1,1
KRC Genk,2012/2013,3,4
RAEC Mons,2012/2013,0,3
Standard de Liège,2012/2013,0,2
Sporting Charleroi,2012/2013,6,1
Lierse SK,2012/2013,4,1
Waasland-Beveren,2012/2013,0,2
Club Brugge KV,2012/2013,1,7
SV Zulte-Waregem,2012/2013,1,2
Sporting Lokeren,2012/2013,2,1
RSC Anderlecht,2012/2013,0,5
Oud-Heverlee Leuven,2012/2013,1,1
Beerschot AC,2012/2013,1,0
Club Brugge KV,2012/2013,0,1
KAA Gent,2012/2013,3,1
KRC Genk,2012/2013,2,2
RAEC Mons,2012/2013,2,2
Standard de Liège,2012/2013,0,0
KV Mechelen,2012/2013,0,0
KV Kortrijk,2012/2013,1,2
RAEC Mons,2012/2013,2,0
Oud-Heverlee Leuven,2012/2013,2,1
Beerschot AC,2012/2013,1,0
KRC Genk,2012/2013,3,2
KAA Gent,2012/2013,2,2
Standard de Liège,2012/2013,0,2
KSV Cercle Brugge,2012/2013,1,1
KV Kortrijk,2012/2013,1,0
Club Brugge KV,2012/2013,1,3
RSC Anderlecht,2012/2013,2,4
Sporting Charleroi,2012/2013,1,2
KV Mechelen,2012/2013,0,2
Lierse SK,2012/2013,2,2
Sporting Lokeren,2012/2013,2,3
SV Zulte-Waregem,2012/2013,1,1
Waasland-Beveren,2012/2013,2,2
KV Kortrijk,2012/2013,0,0
Lierse SK,2012/2013,4,1
Beerschot AC,2012/2013,3,0
RAEC Mons,2012/2013,1,2
Oud-Heverlee Leuven,2012/2013,2,1
KSV Cercle Brugge,2012/2013,3,0
KAA Gent,2012/2013,1,0
KRC Genk,2012/2013,1,1
SV Zulte-Waregem,2012/2013,0,1
Sporting Charleroi,2012/2013,3,1
Standard de Liège,2012/2013,0,0
Sporting Lokeren,2012/2013,2,6
Beerschot AC,2012/2013,4,0
Waasland-Beveren,2012/2013,0,0
KV Mechelen,2012/2013,2,3
Club Brugge KV,2012/2013,0,3
KAA Gent,2012/2013,0,0
KV Kortrijk,2012/2013,2,0
RAEC Mons,2012/2013,0,0
KSV Cercle Brugge,2012/2013,2,1
Lierse SK,2012/2013,2,0
RSC Anderlecht,2012/2013,0,2
KRC Genk,2012/2013,2,1
Oud-Heverlee Leuven,2012/2013,2,0
Standard de Liège,2012/2013,2,2
Club Brugge KV,2012/2013,4,1
Beerschot AC,2012/2013,2,1
Sporting Charleroi,2012/2013,1,0
KV Mechelen,2012/2013,2,1
Sporting Lokeren,2012/2013,1,1
Waasland-Beveren,2012/2013,3,0
SV Zulte-Waregem,2012/2013,1,2
Oud-Heverlee Leuven,2012/2013,3,1
RAEC Mons,2012/2013,0,1
KRC Genk,2012/2013,0,2
Lierse SK,2012/2013,1,0
SV Zulte-Waregem,2012/2013,1,1
KAA Gent,2012/2013,1,0
KSV Cercle Brugge,2012/2013,2,0
RSC Anderlecht,2012/2013,1,2
Sporting Charleroi,2012/2013,2,0
KV Kortrijk,2012/2013,2,0
Waasland-Beveren,2012/2013,2,0
Beerschot AC,2012/2013,1,1
Club Brugge KV,2012/2013,1,1
KV Mechelen,2012/2013,0,2
KAA Gent,2012/2013,0,2
Standard de Liège,2012/2013,0,1
RSC Anderlecht,2012/2013,2,2
KRC Genk,2012/2013,0,0
KSV Cercle Brugge,2012/2013,2,0
Lierse SK,2012/2013,1,3
SV Zulte-Waregem,2012/2013,0,1
RAEC Mons,2012/2013,0,1
Oud-Heverlee Leuven,2012/2013,1,2
Sporting Lokeren,2012/2013,0,0
KV Mechelen,2012/2013,1,0
KAA Gent,2012/2013,3,2
Club Brugge KV,2012/2013,1,2
Standard de Liège,2012/2013,0,4
Sporting Charleroi,2012/2013,1,1
KV Kortrijk,2012/2013,1,0
Beerschot AC,2012/2013,3,2
RAEC Mons,2012/2013,1,3
Waasland-Beveren,2012/2013,3,1
Sporting Lokeren,2012/2013,1,0
Oud-Heverlee Leuven,2012/2013,1,1
SV Zulte-Waregem,2012/2013,1,1
Sporting Charleroi,2012/2013,0,1
Club Brugge KV,2012/2013,3,3
Lierse SK,2012/2013,1,1
RSC Anderlecht,2012/2013,0,3
Lierse SK,2012/2013,3,0
Sporting Lokeren,2012/2013,0,2
RSC Anderlecht,2012/2013,1,1
KSV Cercle Brugge,2012/2013,3,1
Waasland-Beveren,2012/2013,3,0
Oud-Heverlee Leuven,2012/2013,0,0
SV Zulte-Waregem,2012/2013,2,3
KRC Genk,2012/2013,1,5
Beerschot AC,2012/2013,3,1
RAEC Mons,2012/2013,2,1
Standard de Liège,2012/2013,2,6
KV Kortrijk,2012/2013,2,0
KSV Cercle Brugge,2012/2013,3,2
KV Mechelen,2012/2013,2,1
KRC Genk,2012/2013,1,1
KAA Gent,2012/2013,0,2
KV Mechelen,2012/2013,3,2
SV Zulte-Waregem,2012/2013,2,0
Sporting Lokeren,2012/2013,2,1
Sporting Charleroi,2012/2013,2,0
RSC Anderlecht,2012/2013,1,1
Waasland-Beveren,2012/2013,2,1
Club Brugge KV,2012/2013,1,3
Lierse SK,2012/2013,0,3
Standard de Liège,2012/2013,4,2
KRC Genk,2012/2013,2,2
KAA Gent,2012/2013,1,1
RAEC Mons,2012/2013,2,4
KV Kortrijk,2012/2013,0,1
Beerschot AC,2012/2013,0,2
Oud-Heverlee Leuven,2012/2013,1,1
KSV Cercle Brugge,2012/2013,2,0
Waasland-Beveren,2012/2013,1,1
KV Mechelen,2012/2013,0,2
Standard de Liège,2012/2013,3,2
SV Zulte-Waregem,2012/2013,0,1
Club Brugge KV,2012/2013,1,1
RSC Anderlecht,2012/2013,1,1
Sporting Charleroi,2012/2013,2,3
Sporting Lokeren,2012/2013,0,1
KSV Cercle Brugge,2012/2013,4,0
KAA Gent,2012/2013,1,2
KV Kortrijk,2012/2013,2,1
KRC Genk,2012/2013,1,2
RSC Anderlecht,2012/2013,2,3
Oud-Heverlee Leuven,2012/2013,2,2
RAEC Mons,2012/2013,3,0
Lierse SK,2012/2013,1,1
Sporting Lokeren,2012/2013,3,0
KV Mechelen,2012/2013,2,1
Club Brugge KV,2012/2013,2,2
Waasland-Beveren,2012/2013,5,2
Standard de Liège,2012/2013,2,1
SV Zulte-Waregem,2012/2013,1,4
Beerschot AC,2012/2013,1,0
Sporting Charleroi,2012/2013,1,0
Lierse SK,2013/2014,2,0
KV Oostende,2013/2014,0,1
KAA Gent,2013/2014,1,0
Waasland-Beveren,2013/2014,0,0
Waasland-Beveren,2013/2014,2,1
Lierse SK,2013/2014,2,0
KAA Gent,2013/2014,2,4
KV Oostende,2013/2014,0,2
Waasland-Beveren,2013/2014,4,2
KAA Gent,2013/2014,1,1
KV Oostende,2013/2014,0,1
Lierse SK,2013/2014,4,0
Sporting Charleroi,2014/2015,3,0
Club Brugge KV,2014/2015,0,2
KAA Gent,2014/2015,0,0
KV Oostende,2014/2015,2,0
Sporting Lokeren,2014/2015,1,0
KRC Genk,2014/2015,3,1
Royal Excel Mouscron,2014/2015,3,1
KV Kortrijk,2014/2015,2,0
Standard de Liège,2014/2015,3,0
KRC Genk,2014/2015,0,0
KV Kortrijk,2014/2015,0,2
KV Mechelen,2014/2015,1,1
KV Oostende,2014/2015,3,1
SV Zulte-Waregem,2014/2015,3,1
KAA Gent,2014/2015,0,0
KSV Cercle Brugge,2014/2015,1,0
SV Zulte-Waregem,2014/2015,1,2
KVC Westerlo,2014/2015,3,1
Sporting Charleroi,2014/2015,2,2
Royal Excel Mouscron,2014/2015,0,0
Club Brugge KV,2014/2015,1,3
Waasland-Beveren,2014/2015,2,1
RSC Anderlecht,2014/2015,1,1
Lierse SK,2014/2015,1,2
KAA Gent,2014/2015,2,2
Standard de Liège,2014/2015,0,2
KV Oostende,2014/2015,2,0
KSV Cercle Brugge,2014/2015,1,2
Sporting Lokeren,2014/2015,2,2
KV Mechelen,2014/2015,0,1
KV Kortrijk,2014/2015,2,1
KRC Genk,2014/2015,0,1
Lierse SK,2014/2015,3,0
Waasland-Beveren,2014/2015,4,1
KVC Westerlo,2014/2015,4,0
Club Brugge KV,2014/2015,1,4
Sporting Charleroi,2014/2015,5,2
RSC Anderlecht,2014/2015,2,3
SV Zulte-Waregem,2014/2015,1,1
Standard de Liège,2014/2015,0,1
Sporting Lokeren,2014/2015,1,1
KV Mechelen,2014/2015,2,0
Club Brugge KV,2014/2015,0,0
KRC Genk,2014/2015,2,0
KAA Gent,2014/2015,0,1
Royal Excel Mouscron,2014/2015,1,3
KV Oostende,2014/2015,1,0
KV Kortrijk,2014/2015,0,4
KVC Westerlo,2014/2015,5,0
Standard de Liège,2014/2015,0,2
RSC Anderlecht,2014/2015,0,2
SV Zulte-Waregem,2014/2015,1,3
Sporting Charleroi,2014/2015,0,2
Waasland-Beveren,2014/2015,3,0
Lierse SK,2014/2015,1,0
KSV Cercle Brugge,2014/2015,1,1
Lierse SK,2014/2015,2,1
KVC Westerlo,2014/2015,0,0
SV Zulte-Waregem,2014/2015,3,1
Waasland-Beveren,2014/2015,4,2
KV Mechelen,2014/2015,3,0
KSV Cercle Brugge,2014/2015,4,0
Standard de Liège,2014/2015,3,2
RSC Anderlecht,2014/2015,3,1
Club Brugge KV,2014/2015,2,2
KV Kortrijk,2014/2015,0,2
KAA Gent,2014/2015,2,1
KV Oostende,2014/2015,0,0
Sporting Lokeren,2014/2015,1,1
Sporting Charleroi,2014/2015,2,3
Royal Excel Mouscron,2014/2015,2,1
KRC Genk,2014/2015,0,1
SV Zulte-Waregem,2014/2015,2,1
KRC Genk,2014/2015,0,0
Lierse SK,2014/2015,2,1
Standard de Liège,2014/2015,0,1
RSC Anderlecht,2014/2015,4,2
KSV Cercle Brugge,2014/2015,0,0
KV Mechelen,2014/2015,3,0
Waasland-Beveren,2014/2015,1,2
KV Oostende,2014/2015,3,0
Club Brugge KV,2014/2015,1,3
KV Kortrijk,2014/2015,3,0
Sporting Lokeren,2014/2015,1,0
KAA Gent,2014/2015,0,0
KVC Westerlo,2014/2015,3,3
Sporting Charleroi,2014/2015,1,3
Royal Excel Mouscron,2014/2015,2,1
Lierse SK,2014/2015,1,0
KSV Cercle Brugge,2014/2015,1,1
KV Mechelen,2014/2015,3,1
RSC Anderlecht,2014/2015,0,2
KVC Westerlo,2014/2015,2,3
Waasland-Beveren,2014/2015,1,0
SV Zulte-Waregem,2014/2015,2,1
Standard de Liège,2014/2015,2,3
KRC Genk,2014/2015,4,1
Standard de Liège,2014/2015,1,2
KSV Cercle Brugge,2014/2015,2,0
Lierse SK,2014/2015,6,0
SV Zulte-Waregem,2014/2015,0,1
KV Kortrijk,2014/2015,1,2
KV Mechelen,2014/2015,1,1
RSC Anderlecht,2014/2015,0,2
KVC Westerlo,2014/2015,4,0
Sporting Lokeren,2014/2015,2,0
KV Oostende,2014/2015,1,1
Sporting Charleroi,2014/2015,1,3
KAA Gent,2014/2015,2,3
Royal Excel Mouscron,2014/2015,1,0
Club Brugge KV,2014/2015,0,6
Waasland-Beveren,2014/2015,1,0
KV Mechelen,2014/2015,1,1
Lierse SK,2014/2015,3,0
KV Kortrijk,2014/2015,1,7
KSV Cercle Brugge,2014/2015,0,2
KAA Gent,2014/2015,1,3
KRC Genk,2014/2015,1,1
Standard de Liège,2014/2015,1,1
SV Zulte-Waregem,2014/2015,1,3
RSC Anderlecht,2014/2015,2,0
Royal Excel Mouscron,2014/2015,2,0
KV Oostende,2014/2015,3,1
KVC Westerlo,2014/2015,1,3
Sporting Charleroi,2014/2015,0,0
Sporting Lokeren,2014/2015,0,1
Waasland-Beveren,2014/2015,1,1
Club Brugge KV,2014/2015,0,3
KV Oostende,2014/2015,2,0
SV Zulte-Waregem,2014/2015,0,0
KRC Genk,2014/2015,1,0
KV Kortrijk,2014/2015,0,3
KAA Gent,2014/2015,3,3
Standard de Liège,2014/2015,2,3
KSV Cercle Brugge,2014/2015,1,0
KV Mechelen,2014/2015,2,2
Royal Excel Mouscron,2014/2015,3,0
Waasland-Beveren,2014/2015,1,0
KVC Westerlo,2014/2015,4,0
Sporting Lokeren,2014/2015,0,1
Lierse SK,2014/2015,2,3
Club Brugge KV,2014/2015,2,0
Sporting Charleroi,2014/2015,0,0
RSC Anderlecht,2014/2015,0,2
KV Mechelen,2014/2015,1,1
Sporting Lokeren,2014/2015,1,1
KAA Gent,2014/2015,0,0
Standard de Liège,2014/2015,1,1
KV Oostende,2014/2015,0,1
KSV Cercle Brugge,2014/2015,2,1
KRC Genk,2014/2015,1,2
KV Kortrijk,2014/2015,1,0
Waasland-Beveren,2014/2015,3,2
RSC Anderlecht,2014/2015,0,1
Club Brugge KV,2014/2015,2,1
Sporting Charleroi,2014/2015,1,3
Royal Excel Mouscron,2014/2015,1,0
KVC Westerlo,2014/2015,6,0
Lierse SK,2014/2015,2,1
SV Zulte-Waregem,2014/2015,2,2
Royal Excel Mouscron,2014/2015,3,0
KV Kortrijk,2014/2015,2,0
KSV Cercle Brugge,2014/2015,1,0
Sporting Lokeren,2014/2015,1,0
KV Mechelen,2014/2015,2,3
KRC Genk,2014/2015,0,2
KV Oostende,2014/2015,3,0
KAA Gent,2014/2015,0,1
Sporting Charleroi,2014/2015,1,0
SV Zulte-Waregem,2014/2015,3,2
Lierse SK,2014/2015,2,1
Waasland-Beveren,2014/2015,4,3
KVC Westerlo,2014/2015,1,0
RSC Anderlecht,2014/2015,1,2
KSV Cercle Brugge,2014/2015,1,0
Standard de Liège,2014/2015,1,0
Sporting Charleroi,2014/2015,1,0
KAA Gent,2014/2015,0,1
Sporting Lokeren,2014/2015,0,0
Club Brugge KV,2014/2015,1,1
KV Kortrijk,2014/2015,1,2
Royal Excel Mouscron,2014/2015,2,2
KVC Westerlo,2014/2015,1,1
KV Oostende,2014/2015,0,1
Royal Excel Mouscron,2014/2015,2,0
KAA Gent,2014/2015,1,2
KV Oostende,2014/2015,1,4
KRC Genk,2014/2015,1,0
Club Brugge KV,2014/2015,1,3
KV Mechelen,2014/2015,2,3
Sporting Lokeren,2014/2015,0,0
KV Kortrijk,2014/2015,0,0
KSV Cercle Brugge,2014/2015,1,1
SV Zulte-Waregem,2014/2015,3,1
KV Mechelen,2014/2015,2,0
Waasland-Beveren,2014/2015,2,2
Standard de Liège,2014/2015,5,2
Lierse SK,2014/2015,2,0
KRC Genk,2014/2015,1,1
RSC Anderlecht,2014/2015,2,2
Waasland-Beveren,2014/2015,1,0
KVC Westerlo,2014/2015,2,2
KAA Gent,2014/2015,3,2
Royal Excel Mouscron,2014/2015,1,1
KV Oostende,2014/2015,0,2
Club Brugge KV,2014/2015,3,1
Sporting Charleroi,2014/2015,0,2
Sporting Lokeren,2014/2015,1,0
RSC Anderlecht,2014/2015,2,2
KV Kortrijk,2014/2015,0,1
